N,P,K,temperature,humidity,ph,rainfall,label,Pest,Pesticide,Active Ingredient,Usage Guidelines,Historical Temp (Avg Last 7 days),Historical Humidity (Avg Last 7 days),Historical Rainfall (Last 7 days),Atmospheric Pressure (hPa),Solar Radiation (UV Index),Wind Speed (km/h),Wind Direction (°),Cloud Cover (%),Evapotranspiration Rate (mm/day),Pest Occurrence (Count),Pest Life Cycle Stage,Neighboring Crop Infestation Risk (%),NDVI (Normalized Difference Vegetation Index),Chlorophyll Content (SPAD),Soil Microbial Activity (%),Soil Temp (°C),Soil pH Variability,Disease Symptoms Detected,Fertilizer Usage History
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,25.94,54.29,101.98,1048.26,3.56,11.76,187.52,22.72,4.69,19.0,Larva,91.36,0.84,56.46,24.1,25.97,-0.16,Yes,Optimal
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,31.0,75.81,158.48,1040.2,5.83,21.81,256.95,70.98,2.47,30.0,Larva,88.17,0.97,48.91,48.15,23.31,0.07,No,Excess
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,32.63,64.12,268.24,1028.32,3.72,11.81,341.07,86.91,1.79,17.0,Adult,50.75,0.06,23.25,37.77,17.67,-0.53,Yes,Optimal
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,19.15,59.0,238.83,1005.0,1.98,27.57,177.35,47.92,1.79,39.0,Adult,82.98,0.14,49.29,45.59,28.54,-0.69,Yes,Excess
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,29.95,96.66,235.03,1003.09,2.17,16.01,109.35,14.18,3.26,7.0,Adult,26.02,0.67,31.17,34.54,33.4,-0.86,Yes,Optimal
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,24.55,67.41,92.1,1028.54,3.74,24.24,237.13,8.83,2.88,7.0,Adult,4.7,0.31,24.35,58.13,14.25,0.06,No,Excess
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,24.48,61.84,119.18,1039.48,2.01,32.65,252.37,32.85,3.16,7.0,Larva,78.66,0.18,25.48,17.41,19.93,-0.26,Yes,Optimal
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,30.02,94.07,238.35,1012.76,5.44,35.05,324.53,90.2,4.0,17.0,Larva,2.96,0.35,45.24,31.93,22.02,0.92,Yes,Optimal
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,16.44,87.21,204.85,982.84,9.52,16.88,315.69,48.42,1.86,4.0,Egg,76.9,0.2,29.95,11.37,29.5,-0.78,Yes,Deficient
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,33.85,96.45,190.88,993.74,6.18,3.84,280.12,96.59,0.6,12.0,Larva,16.34,0.77,29.28,38.46,17.23,-0.66,Yes,Deficient
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,32.35,86.43,124.97,1015.73,2.17,17.22,174.99,30.78,2.2,9.0,Egg,99.4,0.89,44.45,40.62,26.98,0.13,No,Deficient
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,20.29,76.99,26.01,995.75,10.08,15.93,221.46,81.39,1.2,17.0,Larva,26.87,0.52,50.53,56.74,33.83,0.1,Yes,Optimal
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,22.09,62.11,130.61,1006.15,9.79,29.28,331.08,86.78,1.72,22.0,Egg,87.36,0.54,42.51,65.31,13.47,0.23,Yes,Excess
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,16.37,53.73,205.47,992.73,3.02,16.62,259.68,67.99,1.73,46.0,Larva,33.22,0.15,57.0,38.39,31.93,0.31,Yes,Optimal
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,20.65,88.53,163.04,981.84,2.03,16.49,191.04,66.01,4.34,25.0,Larva,79.53,0.49,41.21,76.12,34.86,-0.89,Yes,Optimal
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,21.29,47.67,192.83,1044.32,3.06,7.45,276.37,91.83,4.91,48.0,Adult,60.23,0.79,35.08,77.67,13.86,0.94,No,Deficient
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,24.31,55.64,90.58,1042.73,8.36,36.31,322.14,69.91,4.15,6.0,Egg,3.02,0.92,48.85,62.19,14.97,-0.07,No,Deficient
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,20.21,52.45,298.33,1004.66,8.29,3.63,165.97,7.41,1.55,32.0,Adult,14.03,0.04,28.82,55.46,12.7,0.46,No,Deficient
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,21.6,81.2,254.41,1038.02,4.36,8.73,49.62,55.35,4.31,7.0,Larva,66.08,0.36,49.85,37.86,33.19,0.01,Yes,Excess
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,17.43,40.39,228.84,1027.37,9.73,32.96,242.08,64.21,4.49,0.0,Adult,92.68,0.24,46.69,64.77,27.17,0.46,No,Deficient
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,27.68,60.46,2.06,1002.95,3.48,37.14,137.87,94.87,3.45,6.0,Larva,47.33,0.29,54.36,31.39,25.65,-0.23,Yes,Deficient
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,15.61,53.28,294.98,1029.39,3.62,34.86,328.28,16.42,2.26,1.0,Egg,29.68,0.75,35.3,20.87,32.39,0.18,Yes,Deficient
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,34.71,56.87,10.84,984.0,4.83,14.76,232.97,44.02,0.7,13.0,Larva,13.93,0.05,53.8,39.9,20.74,-0.45,No,Excess
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,28.05,60.28,160.42,1016.2,1.15,14.32,233.05,92.39,1.78,13.0,Adult,71.14,0.6,35.12,31.03,12.35,0.43,Yes,Optimal
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,19.79,82.93,96.17,989.87,9.44,26.17,176.69,21.75,4.15,3.0,Larva,50.78,0.15,25.8,70.31,10.72,0.31,Yes,Excess
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,25.61,49.17,11.79,1007.83,4.59,5.29,221.63,62.61,2.36,16.0,Egg,71.87,0.43,57.84,35.02,25.33,0.39,Yes,Optimal
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,28.8,87.99,63.13,1032.69,9.69,29.58,127.79,18.25,0.63,16.0,Egg,23.36,0.32,39.55,38.08,24.34,0.94,Yes,Optimal
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,21.5,75.83,3.08,1032.93,8.36,11.07,89.64,63.05,4.0,46.0,Larva,12.07,0.62,48.89,38.25,28.13,0.95,Yes,Optimal
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,25.42,47.09,259.86,1030.03,2.31,25.39,126.31,34.95,0.65,4.0,Egg,46.99,0.2,34.14,31.32,32.07,0.09,Yes,Deficient
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,25.69,60.5,138.41,1003.76,9.25,14.57,217.21,53.98,3.11,49.0,Egg,17.55,0.08,23.93,12.97,31.46,0.57,No,Optimal
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,18.07,81.38,112.33,1010.32,4.36,28.24,26.99,0.31,4.11,16.0,Adult,39.63,0.37,40.37,62.7,18.47,0.52,No,Deficient
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,27.2,97.01,70.05,1044.07,9.99,17.36,302.42,41.37,4.08,43.0,Egg,33.36,0.46,28.59,69.96,15.49,0.27,Yes,Optimal
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,20.35,76.04,177.08,1034.54,8.65,5.59,266.83,66.56,0.95,33.0,Egg,60.68,0.74,46.38,39.29,12.77,0.17,Yes,Excess
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,26.15,48.87,247.71,1041.47,1.32,29.68,354.4,58.22,1.39,19.0,Larva,16.93,0.82,26.01,42.84,26.15,0.07,No,Deficient
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,17.4,83.08,159.72,1000.04,9.89,38.68,317.17,59.66,1.86,24.0,Egg,58.07,0.5,35.17,79.88,20.56,-0.49,Yes,Deficient
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,28.61,58.38,174.07,1033.63,2.45,15.82,119.03,14.22,2.9,21.0,Egg,72.99,0.1,26.28,57.79,24.46,0.98,Yes,Excess
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,24.35,70.2,8.93,1046.57,1.77,9.53,291.03,13.09,4.19,9.0,Adult,72.89,0.1,53.34,51.66,21.03,-0.7,No,Excess
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,16.13,64.44,38.08,990.86,6.77,33.33,38.3,61.31,2.76,8.0,Adult,91.1,0.69,49.27,73.83,23.98,-0.85,No,Excess
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,33.88,55.6,265.65,1015.27,9.05,38.85,96.0,52.67,2.94,23.0,Larva,75.91,0.64,54.23,11.94,20.85,-0.81,Yes,Optimal
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,30.91,82.55,258.03,1019.63,1.71,34.6,103.6,65.51,2.4,3.0,Adult,51.8,0.47,23.17,47.02,14.78,-0.6,No,Optimal
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,16.58,57.54,157.92,1036.43,1.04,15.59,212.8,78.03,3.83,6.0,Larva,10.57,0.87,46.25,75.88,17.35,0.37,Yes,Deficient
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,15.24,91.8,42.3,1047.09,4.97,16.84,262.54,69.14,2.47,43.0,Larva,95.58,0.8,57.06,46.76,31.43,-0.87,No,Optimal
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,19.68,77.49,104.04,1021.21,5.94,38.95,284.54,83.63,1.98,8.0,Larva,51.78,0.74,22.83,75.16,25.44,0.27,No,Excess
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,15.26,66.63,203.79,1028.28,8.45,37.03,336.19,7.02,2.83,22.0,Adult,77.98,0.59,30.97,71.57,24.02,-0.38,Yes,Optimal
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,17.1,50.49,47.32,985.78,10.14,20.94,297.34,88.9,3.38,45.0,Larva,87.74,0.76,45.4,33.43,26.45,0.64,No,Excess
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,15.31,86.41,89.6,1048.46,2.25,22.68,326.94,32.35,2.55,14.0,Egg,81.97,0.06,37.43,68.53,13.57,-0.7,No,Excess
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,33.02,51.34,107.75,994.56,6.96,14.84,249.96,71.5,1.74,40.0,Egg,26.47,0.83,36.08,36.95,13.8,0.51,No,Deficient
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,28.79,90.27,61.44,1027.37,9.69,3.64,92.85,30.63,2.52,4.0,Adult,6.65,0.6,42.15,59.08,28.81,-0.42,Yes,Optimal
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,28.61,62.27,39.37,1033.8,7.89,0.83,56.0,15.23,3.49,33.0,Adult,73.48,0.71,25.67,25.22,31.98,0.82,Yes,Deficient
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,29.58,52.54,141.15,1023.27,4.58,34.88,155.45,97.67,2.14,13.0,Egg,85.75,0.81,47.37,63.73,32.44,-0.74,No,Excess
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,30.72,94.64,64.57,997.43,7.9,23.21,46.75,58.33,3.42,16.0,Adult,63.5,0.17,28.97,41.81,26.39,-0.97,No,Optimal
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,32.71,70.18,191.84,1004.49,9.42,35.45,14.69,80.05,4.91,16.0,Larva,33.31,0.92,32.73,56.76,27.32,-0.75,No,Deficient
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,21.22,59.77,76.8,1012.11,1.25,13.37,92.87,33.66,0.7,34.0,Egg,56.75,0.99,44.08,53.35,18.0,0.53,No,Optimal
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,17.62,58.64,138.49,1018.33,7.86,8.93,77.13,76.58,3.84,12.0,Egg,63.23,0.79,58.91,48.67,11.82,-0.15,No,Deficient
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,34.19,86.12,6.6,1020.73,3.42,2.65,13.79,4.05,1.11,26.0,Adult,64.73,0.11,50.86,76.07,16.32,-0.39,No,Optimal
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,20.12,56.72,126.82,1018.8,7.41,35.12,171.92,21.23,1.45,6.0,Egg,64.12,0.16,23.23,31.55,31.2,-0.91,Yes,Deficient
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,Stem Borer,Chlorantraniliprole,Chlorantraniliprole 18.5% SC,Spray at 0.4 ml/L water,26.34,46.71,221.93,1032.6,5.92,11.62,287.51,24.62,1.81,17.0,Egg,62.31,0.04,49.27,38.96,25.98,0.79,No,Excess
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,Brown Planthopper,Buprofezin,Buprofezin 25% SC,Apply 0.1 ml/L water,31.64,41.13,112.59,986.43,9.2,3.82,232.49,14.95,0.72,33.0,Larva,3.87,0.19,59.05,60.1,17.66,0.85,Yes,Excess
